Reaction ID	SKRC-7	VHL-7
HMR_0001	47.48351780641945	47.48351780641945
HMR_0006	47.48351780641945	47.48351780641945
HMR_0014	47.48351780641945	47.48351780641945
HMR_0015	81.00966881898836	47.48351780641945
HMR_0017	47.48351780641945	81.00966881898836
HMR_0018	81.00966881898836	47.48351780641945
HMR_0019	81.00966881898836	47.48351780641945
HMR_0020	47.48351780641945	81.00966881898836
HMR_0025	47.48351780641945	81.00966881898836
HMR_0030	47.48351780641945	81.00966881898836
HMR_0031	81.00966881898836	47.48351780641945
HMR_0032	47.48351780641945	81.00966881898836
HMR_0153	47.48351780641945	81.00966881898836
HMR_0154	47.48351780641945	81.00966881898836
HMR_0155	47.48351780641945	47.48351780641945
HMR_0156	81.00966881898836	47.48351780641945
HMR_0158	47.48351780641945	81.00966881898836
HMR_0159	81.00966881898836	47.48351780641945
HMR_0160	47.48351780641945	81.00966881898836
HMR_0161	64.24659331270391	64.24659331270391
HMR_0162	47.48351780641945	81.00966881898836
HMR_0163	47.48351780641945	81.00966881898836
HMR_0164	47.48351780641945	47.48351780641945
HMR_0165	81.00966881898836	47.48351780641945
HMR_0167	47.48351780641945	47.48351780641945
HMR_0168	81.00966881898836	47.48351780641945
HMR_0170	47.48351780641945	47.48351780641945
HMR_0171	81.00966881898836	47.48351780641945
HMR_0173	47.48351780641945	47.48351780641945
HMR_0174	81.00966881898836	47.48351780641945
HMR_0176	47.48351780641945	47.48351780641945
HMR_0177	81.00966881898836	47.48351780641945
HMR_0179	47.48351780641945	47.48351780641945
HMR_0180	81.00966881898836	47.48351780641945
HMR_0183	47.48351780641945	47.48351780641945
HMR_0184	81.00966881898836	47.48351780641945
HMR_0187	47.48351780641945	47.48351780641945
HMR_0188	64.24659331270391	47.48351780641945
HMR_0189	47.48351780641945	64.24659331270391
HMR_0190	47.48351780641945	81.00966881898836
HMR_0191	47.48351780641945	47.48351780641945
HMR_0192	64.24659331270391	47.48351780641945
HMR_0193	47.48351780641945	64.24659331270391
HMR_0195	47.48351780641945	47.48351780641945
HMR_0196	64.24659331270391	47.48351780641945
HMR_0197	47.48351780641945	64.24659331270391
HMR_0199	47.48351780641945	47.48351780641945
HMR_0200	64.24659331270391	47.48351780641945
HMR_0201	47.48351780641945	64.24659331270391
HMR_0203	47.48351780641945	47.48351780641945
HMR_0204	64.24659331270391	47.48351780641945
HMR_0206	47.48351780641945	64.24659331270391
HMR_0208	47.48351780641945	47.48351780641945
HMR_0209	64.24659331270391	47.48351780641945
HMR_0210	47.48351780641945	64.24659331270391
HMR_0212	47.48351780641945	47.48351780641945
HMR_0213	64.24659331270391	47.48351780641945
HMR_0214	47.48351780641945	64.24659331270391
HMR_0216	47.48351780641945	47.48351780641945
HMR_0217	64.24659331270391	47.48351780641945
HMR_0223	47.48351780641945	64.24659331270391
HMR_0225	47.48351780641945	47.48351780641945
HMR_0226	64.24659331270391	47.48351780641945
HMR_0230	47.48351780641945	64.24659331270391
HMR_0232	47.48351780641945	47.48351780641945
HMR_0233	64.24659331270391	47.48351780641945
HMR_0234	47.48351780641945	64.24659331270391
HMR_0236	47.48351780641945	47.48351780641945
HMR_0237	64.24659331270391	47.48351780641945
HMR_0238	47.48351780641945	64.24659331270391
HMR_0240	47.48351780641945	47.48351780641945
HMR_0241	64.24659331270391	47.48351780641945
HMR_0242	47.48351780641945	64.24659331270391
HMR_0244	47.48351780641945	47.48351780641945
HMR_0245	64.24659331270391	47.48351780641945
HMR_0246	47.48351780641945	64.24659331270391
HMR_0248	47.48351780641945	47.48351780641945
HMR_0249	64.24659331270391	47.48351780641945
HMR_0250	47.48351780641945	64.24659331270391
HMR_0254	47.48351780641945	47.48351780641945
HMR_0255	64.24659331270391	47.48351780641945
HMR_0256	47.48351780641945	64.24659331270391
HMR_0258	47.48351780641945	47.48351780641945
HMR_0259	64.24659331270391	47.48351780641945
HMR_0260	47.48351780641945	64.24659331270391
HMR_0262	47.48351780641945	47.48351780641945
HMR_0263	64.24659331270391	47.48351780641945
HMR_0264	47.48351780641945	64.24659331270391
HMR_0266	47.48351780641945	47.48351780641945
HMR_0267	64.24659331270391	47.48351780641945
HMR_0268	47.48351780641945	64.24659331270391
HMR_0270	47.48351780641945	47.48351780641945
HMR_0271	64.24659331270391	47.48351780641945
HMR_0272	47.48351780641945	64.24659331270391
HMR_0274	47.48351780641945	47.48351780641945
HMR_0275	64.24659331270391	47.48351780641945
HMR_0276	47.48351780641945	64.24659331270391
HMR_0278	47.48351780641945	47.48351780641945
HMR_0279	64.24659331270391	47.48351780641945
HMR_0280	47.48351780641945	64.24659331270391
HMR_0282	47.48351780641945	47.48351780641945
