ID	STRING
HMR_5635	[1.0][m02519][s] + [1.0][m02471][c] + [1.0][m02896][s] => [1.0][m02519][c] + [1.0][m02471][s] + [1.0][m02896][c]
HMR_5636	[1.0][m02519][s] + [1.0][m02896][s] + [1.0][m03089][c] => [1.0][m02519][c] + [1.0][m02896][c] + [1.0][m03089][s]
HMR_5637	[1.0][m02519][s] + [1.0][m02724][c] + [1.0][m02896][s] => [1.0][m02519][c] + [1.0][m02724][s] + [1.0][m02896][c]
HMR_3678	[1.0][m00131][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01483][r]
HMR_3679	[1.0][m00110][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01472][r]
HMR_3676	[1.0][m01364][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01488][r]
HMR_3677	[1.0][m00119][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01476][r]
HMR_3674	[1.0][m01450][r] + [1.0][m01934][r] => [1.0][m01597][r] + [1.0][m01493][r]
HMR_3675	[1.0][m01450][r] + [1.0][m01697][r] => [1.0][m01597][r] + [1.0][m01490][r]
HMR_3672	[1.0][m00317][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01459][r]
HMR_3673	[1.0][m01450][r] + [1.0][m02391][r] => [1.0][m01597][r] + [1.0][m01499][r]
HMR_3670	[1.0][m00343][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01460][r]
HMR_3671	[1.0][m00262][r] + [1.0][m01450][r] => [1.0][m01597][r] + [1.0][m01452][r]
HMR_7009	[1.0][m00538][c] => [1.0][m00250][c]
HMR_7008	[1.0][m00032][c] => [1.0][m00538][c]
HMR_2079	[1.0][m02630][c] + [1.0][m01794][c] => [1.0][m02631][c] + [1.0][m01793][c]
HMR_2078	[1.0][m01000][r] + [1.0][m02041][r] <=> [2.0][m02039][r] + [1.0][m02040][r] + [1.0][m01794][r]
HMR_2077	[1.0][m01000][l] + [1.0][m02041][l] <=> [2.0][m02039][l] + [1.0][m02040][l] + [1.0][m01794][l]
HMR_2076	[1.0][m01000][c] + [1.0][m02041][c] <=> [2.0][m02039][c] + [1.0][m02040][c] + [1.0][m01794][c]
HMR_2075	[1.0][m00652][p] <=> [1.0][m02026][p] + [1.0][m01791][p]
HMR_2074	[1.0][m00652][r] <=> [1.0][m02026][r] + [1.0][m01791][r]
HMR_2073	[1.0][m00652][m] <=> [1.0][m02026][m] + [1.0][m01791][m]
HMR_2072	[1.0][m00652][c] <=> [1.0][m02026][c] + [1.0][m01791][c]
HMR_2071	[1.0][m00651][p] <=> [1.0][m02026][p] + [1.0][m01791][p]
HMR_2070	[1.0][m00651][r] <=> [1.0][m02026][r] + [1.0][m01791][r]
HMR_1252	[1.0][m00582][c] <=> [1.0][m00582][r]
HMR_1253	[1.0][m00582][m] + [1.0][m02630][m] => [1.0][m00026][m] + [1.0][m02041][m]
HMR_1250	[1.0][m00585][r] + [1.0][m01371][r] + [1.0][m01597][r] <=> [1.0][m00582][r] + [1.0][m01334][r] + [1.0][m02759][r]
HMR_1251	[1.0][m00585][p] + [1.0][m01371][p] + [1.0][m01597][p] <=> [1.0][m00582][p] + [1.0][m01334][p] + [1.0][m02759][p]
HMR_6976	[1.0][m02877][c] + [1.0][m00213][c] => [1.0][m02871][c] + [1.0][m00212][c]
HMR_6977	[1.0][m02039][c] + [1.0][m02877][c] + [1.0][m00212][c] => [1.0][m02871][c] + [1.0][m00211][c]
HMR_1254	[1.0][m00582][p] + [1.0][m02630][p] => [1.0][m00026][p] + [1.0][m02041][p]
HMR_1255	[1.0][m00026][m] + [1.0][m02040][m] => [1.0][m00581][m]
HMR_6208	[1.0][m02046][c] + [1.0][m01980][c] + [1.0][m02794][s] <=> [1.0][m02046][s] + [1.0][m01980][s] + [1.0][m02794][c]
HMR_6209	[1.0][m02046][c] + [1.0][m02900][c] + [1.0][m02794][s] <=> [1.0][m02046][s] + [1.0][m02900][s] + [1.0][m02794][c]
HMR_1258	[1.0][m00581][p] + [1.0][m02552][p] => [1.0][m00420][p] + [1.0][m02039][p] + [1.0][m02553][p]
HMR_1259	[1.0][m00420][m] + [1.0][m01597][m] => [1.0][m00421][m] + [1.0][m01261][m]
HMR_6752	[1.0][m02040][c] + [1.0][m02630][c] + [1.0][m02617][c] => [1.0][m00726][c] + [1.0][m02041][c] + [1.0][m02578][c]
HMR_6753	[1.0][m00726][c] + [1.0][m02040][c] + [1.0][m02552][c] => [1.0][m00727][c] + [1.0][m02039][c] + [1.0][m02553][c]
HMR_6750	[1.0][m02877][c] + [1.0][m02617][c] => [1.0][m02871][c] + [1.0][m02622][c]
HMR_6751	[1.0][m02040][c] + [1.0][m02630][c] + [1.0][m02622][c] => [1.0][m00820][c] + [1.0][m02041][c] + [1.0][m02578][c]
HMR_5418	[1.0][m01597][m] + [1.0][m02540][m] <=> [1.0][m01261][m] + [1.0][m02471][m]
HMR_5419	[1.0][m01597][m] + [1.0][m02534][m] <=> [1.0][m01261][m] + [1.0][m01628][m]
HMR_5955	[1.0][m01986][c] + [1.0][m02125][s] => [1.0][m01986][s] + [1.0][m02125][c]
HMR_5954	[1.0][m02184][c] + [1.0][m02658][s] => [1.0][m02184][s] + [1.0][m02658][c]
HMR_5957	[1.0][m01975][c] + [1.0][m02125][s] => [1.0][m01975][s] + [1.0][m02125][c]
HMR_5956	[1.0][m01307][c] + [1.0][m02125][s] => [1.0][m01307][s] + [1.0][m02125][c]
HMR_5951	[1.0][m02658][s] + [1.0][m03135][c] => [1.0][m02658][c] + [1.0][m03135][s]
HMR_5950	[1.0][m01369][c] + [1.0][m02658][s] => [1.0][m01369][s] + [1.0][m02658][c]
HMR_5953	[1.0][m02136][c] + [1.0][m02658][s] => [1.0][m02136][s] + [1.0][m02658][c]
HMR_5952	[1.0][m02658][s] + [1.0][m02993][c] => [1.0][m02658][c] + [1.0][m02993][s]
HMR_5959	[1.0][m02125][s] + [1.0][m02471][c] => [1.0][m02125][c] + [1.0][m02471][s]
HMR_5958	[1.0][m02125][s] + [1.0][m02896][c] => [1.0][m02125][c] + [1.0][m02896][s]
HMR_2699	[1.0][m01597][c] + [1.0][m02051][c] <=> [1.0][m02348][c] + [1.0][m02052][c]
HMR_8814	[1.0][m00552][n] + [1.0][m01371][n] => [1.0][m00551][n] + [1.0][m01285][n]
HMR_2722	[1.0][m00102][c] + [1.0][m02348][m] <=> [1.0][m00102][m] + [1.0][m02348][c]
HMR_2693	[1.0][m00101][c] + [1.0][m02348][c] <=> [1.0][m00100][c] + [1.0][m01597][c]
HMR_2692	[1.0][m00123][m] + [1.0][m02348][m] <=> [1.0][m00122][m] + [1.0][m01597][m]
HMR_2691	[1.0][m00122][c] + [1.0][m02348][m] <=> [1.0][m00122][m] + [1.0][m02348][c]
HMR_2690	[1.0][m00123][c] + [1.0][m02348][c] <=> [1.0][m00122][c] + [1.0][m01597][c]
HMR_2697	[1.0][m00101][m] + [1.0][m02348][m] <=> [1.0][m00100][m] + [1.0][m01597][m]
HMR_2695	[1.0][m00100][c] + [1.0][m02348][m] <=> [1.0][m00100][m] + [1.0][m02348][c]
HMR_2720	[1.0][m00103][c] + [1.0][m02348][c] <=> [1.0][m00102][c] + [1.0][m01597][c]
HMR_2019	[1.0][m01064][r] + [1.0][m02039][r] + [1.0][m02555][r] => [1.0][m02554][r] + [1.0][m01338][r]
HMR_2095	[1.0][m00412][c] + [1.0][m02026][c] <=> [1.0][m00987][c]
HMR_2726	[1.0][m00121][c] + [1.0][m02348][c] <=> [1.0][m00120][c] + [1.0][m01597][c]
HMR_2724	[1.0][m00103][m] + [1.0][m02348][m] <=> [1.0][m00102][m] + [1.0][m01597][m]
